feature,gain
out_txn_count_21d,20317592.44044572
out_txn_count_30d,8002226.840956055
out_active_days_21d,5958307.104672611
out_txn_count_14d,4983523.52508539
out_active_days_30d,4336476.777019903
out_days_since_last_transaction,2527246.9936949685
out_active_day_ratio_21d,1270953.5142650604
out_txn_count_21d_to_45d,1187709.106466055
out_txn_count_90d,1005681.4155166149
balance_std_7d,828834.4367174916
out_txn_count_30d_to_90d,664937.2891860083
out_active_day_ratio_30d,622726.6718178391
out_active_day_14d_to_30d,594487.7276998162
out_txn_count_7d,567371.2436571121
out_txn_count_14d_to_30d,480515.20714636147
balance_cv_7d,287118.786424743
out_activity_frequency_score,284655.5097270012
out_txn_count_5d,280818.54187202454
out_txn_count_7d_to_30d,261379.46525788307
out_active_days_90d,212404.29591917992
out_txn_sum_14d,180995.5841112435
out_txn_count_recent_vs_prev30,170132.88583796215
out_active_day_ratio_90d,141432.1845817566
out_active_days_14d,117584.37880516052
out_avg_txn_gap_days,111336.65634590387
out_txn_count_60d,105761.73304224014
out_txn_per_active_day_90d,88072.7223777771
out_recency_x_sum_30d,83776.10658693314
out_txn_count_45d,53357.52593708038
out_active_day_ratio_14d,53357.198444366455
out_txn_count_61_90d,42514.271389484406
out_txn_count_31_60d,35913.6003370285
out_dst_diversity_7d_to_30d,35018.20970463753
out_recency_x_count_30d,29053.78365433216
out_txn_sum_14d_to_30d,28579.064362466335
out_txn_sum_5d,28238.23826789856
out_txn_sum_21d,26553.994625866413
out_txn_sum_7d_to_14d,25258.21530032158
out_txn_sum_7d_to_30d,24149.594861984253
balance_1d_to_7d,22525.446679517627
out_active_days_7d,18824.714265823364
out_active_day_7d_to_30d,17133.809659957886
out_txn_sum_90d,16634.496414661407
balance_std_30d,15240.777382791042
out_active_day_ratio_7d,11541.832000732422
out_txn_sum_2d,9871.534777641296
out_median_txn_amount,8297.99718952179
out_txn_sum_31_60d,8092.414762973785
out_txn_sum_7d,6825.995616912842
out_txn_count_3d,6364.42648601532
out_txn_sum_30d,5508.085800170898
out_txn_sum_61_90d,4621.084711074829
out_txn_count_7d_to_14d,4588.645898103714
out_txn_sum_45d,4353.763437271118
balance_14d_to_30d,4271.8027946949005
balance_cv_30d,3883.6615236997604
out_txn_sum_prev30_vs_old30,3256.743639945984
balance_3d_to_14d,2963.11300855875
out_max_txn_gap_days,2949.468756914139
out_txn_sum_30d_to_90d,2644.6605674028397
out_txn_per_active_day_30d,2396.430915236473
balance_last_vs_first,2278.9413022994995
in_days_since_first_transaction,1922.559940814972
out_txn_count_prev30_vs_old30,1903.3205585479736
balance_max_7d,1900.668123960495
avg_balance_31_60d,1863.334258556366
avg_balance_7d,1784.1868789196014
out_bill_ratio,1773.0842423439026
avg_balance_14d,1760.8313870429993
out_txn_sum_1d,1754.7537088394165
avg_balance_30d,1740.6915397644043
out_txn_sum_3d_to_14d,1694.5752611160278
out_merchant_count_90d,1664.7025895118713
out_txn_count_3d_to_14d,1635.495397567749
net_flow_90d,1615.0125751495361
out_min_txn_amount,1559.8729939386249
out_txn_to_balance_ratio,1553.1507320404053
avg_balance_61_90d,1525.7370209693909
amount_per_active_day_90d,1372.3450009822845
in_txn_sum_prev30_vs_old30,1365.3660130500793
out_txn_sum_recent_vs_prev30,1330.6666842936538
out_txn_sum_3d,1308.5745859146118
out_txn_sum_60d,1243.2879931926727
balance_max_30d,1210.2613201737404
zero_balance_days_7d,1162.462084889412
account_age_days,1151.3018488883972
balance_recent_vs_prev30,1140.8223433494568
out_days_since_first_transaction,1129.459975719452
out_p2p_count_90d,1090.9593048095703
in_txn_sum_61_90d,1037.2932648658752
in_min_txn_amount,1033.432993888855
avg_balance_1d,1029.8666865825653
out_days_since_last_p2p,1023.6093044281006
out_txn_sum_1d_to_7d,1016.8491983413696
out_avg_txn_amount,960.5069341659546
balance_7d_to_30d,959.2637192159891
out_unique_dst_accounts_7d,953.8473205566406
net_flow_30d,936.5178120136261
out_txn_count_2d,908.9897918701172
out_unique_dst_accounts,890.0061988830566
out_bill_count_90d,879.6916418075562
in_txn_count_recent_vs_prev30,836.2369842529297
out_p2p_ratio_30d,827.4592914581299
in_txn_count_21d_to_45d,821.4171748161316
out_days_since_last_bill,806.6799790263176
out_max_txn_amount,805.1037793159485
balance_prev30_vs_old30,774.1488032341003
in_txn_sum_recent_vs_prev30,771.1499996185303
in_out_count_ratio_30d,760.5881910324097
balance_drop_30d,726.9943799972534
in_recency_x_count_30d,704.6103992462158
in_txn_sum_1d_to_7d,697.4188022613525
in_txn_sum_31_60d,647.949501991272
in_median_txn_amount,604.8025217056274
avg_balance_3d,593.0604310035706
out_bill_ratio_30d,592.75963139534
out_days_since_last_merchant,588.2488321661949
out_dst_per_txn_30d,580.6890454292297
in_txn_sum_7d_to_14d,575.0289602279663
zero_balance_ratio_7d,566.5868015289307
in_dst_per_txn_30d,521.3539934158325
out_std_txn_amount,518.51109790802
in_txn_sum_3d_to_14d,502.87310218811035
in_txn_count_1d_to_7d,499.24520111083984
in_txn_count_14d_to_30d,495.9261016845703
out_unique_txn_types,485.1927499771118
in_txn_sum_14d_to_30d,472.28740310668945
out_merchant_ratio,458.0698118209839
in_cashout_ratio_30d,414.914101600647
first_balance_90d,389.5682010650635
in_active_day_14d_to_30d,388.5732002258301
out_unique_dst_accounts_30d,373.8145453929901
zero_balance_days_30d,356.5862457752228
out_merchant_ratio_30d,324.2808961868286
out_cashout_ratio_30d,317.92380142211914
out_bill_count_30d,313.78576946258545
in_avg_txn_amount,310.7304983139038
in_txn_count_7d_to_30d,307.3762035369873
in_txn_count_90d,303.38575887680054
in_txn_sum_7d_to_30d,303.3792953491211
avg_balance_90d,296.54956817626953
in_txn_count_30d_to_90d,282.24015712738037
in_txn_count_prev30_vs_old30,274.1103935241699
median_balance_30d,270.60295248031616
in_recency_x_sum_30d,262.5642743706703
out_p2p_ratio,254.19936084747314
balance_std_90d,251.88819646835327
out_txn_count_1d_to_7d,216.60200119018555
in_out_amount_ratio_30d,208.24440002441406
in_p2p_ratio,205.221031665802
in_unique_txn_types,198.93719863891602
in_active_day_7d_to_30d,196.85409927368164
in_txn_sum_1d,195.62889862060547
in_txn_to_balance_ratio,192.12949800491333
in_std_txn_amount,175.4096975326538
in_max_txn_amount,175.02320289611816
in_active_days_90d,174.9761791229248
region_idx,174.17060327529907
in_txn_sum_30d_to_90d,164.90108799934387
in_txn_sum_21d,157.60432291030884
in_activity_frequency_score,152.8780689239502
out_merchant_count_30d,149.6005744934082
out_cashout_ratio,148.07989883422852
in_txn_count_61_90d,140.43570137023926
in_avg_txn_gap_days,134.61504793167114
in_txn_sum_14d,132.34031867980957
in_max_txn_gap_days,131.4217128753662
in_txn_sum_90d,125.64370059967041
in_cashout_ratio,125.06470108032227
zero_balance_ratio,121.87660026550293
in_txn_sum_7d,116.0474624633789
in_days_since_last_transaction,114.49220085144043
in_txn_count_31_60d,112.80970001220703
out_p2p_count_30d,112.24958181381226
in_cashout_count_30d,106.80920028686523
balance_min_7d,102.49533116817474
in_txn_count_3d_to_14d,89.6885986328125
in_txn_count_60d,86.56077194213867
in_txn_sum_30d,80.06049919128418
in_unique_dst_accounts_7d,75.68302154541016
in_txn_sum_3d,71.52323055267334
out_txn_count_1d,68.02149963378906
in_txn_sum_5d,65.36848974227905
out_cashout_count_90d,62.079498291015625
balance_min_30d,60.24236989021301
in_txn_count_45d,58.180148124694824
in_txn_sum_60d,57.90369987487793
in_txn_count_3d,53.76135015487671
out_cashout_count_30d,53.347999572753906
in_txn_count_7d_to_14d,53.129098892211914
in_txn_per_active_day_30d,36.96749019622803
in_p2p_ratio_30d,31.945420265197754
in_active_day_ratio_7d,29.446500778198242
in_unique_dst_accounts_30d,29.15632915496826
in_active_days_30d,25.670900344848633
in_txn_per_active_day_90d,23.44379997253418
in_active_days_14d,20.9330997467041
in_cashout_count_90d,18.93829917907715
in_txn_count_21d,14.196800231933594
in_txn_count_2d,12.75790023803711
last_balance,10.341300010681152
in_active_day_ratio_90d,8.801309585571289
in_p2p_count_30d,6.907780170440674
in_unique_dst_accounts,0.0
in_active_days_7d,0.0
gender_idx,0.0
account_type_idx,0.0
in_txn_count_1d,0.0
in_active_days_21d,0.0
in_p2p_count_90d,0.0
balance_obs_7d,0.0
in_bill_count_90d,0.0
in_merchant_count_90d,0.0
in_merchant_ratio_30d,0.0
in_bill_ratio_30d,0.0
in_merchant_ratio,0.0
in_bill_ratio,0.0
in_days_since_last_merchant,0.0
in_txn_count_7d,0.0
in_txn_sum_45d,0.0
in_active_day_ratio_14d,0.0
in_active_day_ratio_21d,0.0
in_active_day_ratio_30d,0.0
in_days_since_last_bill,0.0
in_days_since_last_p2p,0.0
in_dst_diversity_7d_to_30d,0.0
in_txn_sum_2d,0.0
in_txn_count_14d,0.0
in_txn_count_5d,0.0
in_merchant_count_30d,0.0
in_bill_count_30d,0.0
balance_obs_30d,0.0
in_txn_count_30d,0.0
